source,type,severity,description,details,recommendation,timestamp
VirusTotal,SUSPICIOUS_IP,MEDIUM,IP адрес 1.1.1.1 вызывает подозрения,"{""ip"": ""1.1.1.1"", ""suspicious_votes"": 1, ""country"": ""US""}",Проверить активность с этого IP,2026-03-11T22:25:16.220927
VirusTotal,MALICIOUS_IP,HIGH,IP адрес 185.130.5.133 обнаружен в базах вредоносных IP,"{""ip"": ""185.130.5.133"", ""malicious_votes"": 3, ""country"": ""US"", ""owner"": ""CloudFlare""}",Заблокировать IP адрес на межсетевом экране,2026-03-11T22:25:16.222126
VirusTotal,MALICIOUS_IP,HIGH,IP адрес 45.155.205.233 обнаружен в базах вредоносных IP,"{""ip"": ""45.155.205.233"", ""malicious_votes"": 2, ""country"": ""RU"", ""owner"": ""Unknown""}",Заблокировать IP адрес на межсетевом экране,2026-03-11T22:25:16.222150
Vulners,VULNERABILITY,CRITICAL,Критическая уязвимость в Apache Log4j,"{""cve_id"": ""CVE-2024-1234"", ""cvss_score"": 9.8, ""cvss_vector"": ""AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H"", ""published"": ""2024-01-15"", ""affected_software"": ""Apache Log4j <= 2.14.1""}",Немедленно обновить Apache Log4j <= 2.14.1,2026-03-11T22:25:16.222182
Vulners,VULNERABILITY,HIGH,Уязвимость повышения привилегий в Windows,"{""cve_id"": ""CVE-2024-5678"", ""cvss_score"": 7.5, ""cvss_vector"": ""AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H"", ""published"": ""2024-02-20"", ""affected_software"": ""Windows 10/11""}",Немедленно обновить Windows 10/11,2026-03-11T22:25:16.222194
Suricata Logs,IDS_ALERT,MEDIUM,ET SCAN Potential SSH Scan,"{""src_ip"": ""192.168.1.100"", ""dest_ip"": ""45.155.205.233"", ""dest_port"": 22, ""category"": ""Attempted Information Leak""}",Проверить источник и принять меры,2026-03-10T10:23:15Z
Suricata Logs,IDS_ALERT,MEDIUM,ET SCAN Telnet Scan,"{""src_ip"": ""192.168.1.100"", ""dest_ip"": ""45.155.205.233"", ""dest_port"": 23, ""category"": ""Attempted Information Leak""}",Проверить источник и принять меры,2026-03-10T10:24:30Z
Suricata Logs,IDS_ALERT,HIGH,ET MALWARE Known Malware Domain,"{""src_ip"": ""10.0.0.50"", ""dest_ip"": ""8.8.8.8"", ""dest_port"": 53, ""category"": ""Malware Domain""}",Проверить источник и принять меры,2026-03-10T10:25:45Z
Auth Logs,BRUTE_FORCE_ATTEMPT,HIGH,Обнаружено 5 неудачных попыток входа с IP 203.0.113.45,"{""src_ip"": ""203.0.113.45"", ""attempts"": 5, ""threshold"": 5}",Заблокировать IP 203.0.113.45 на 24 часа,2026-03-11T22:25:16.222304
Network Logs,SUSPICIOUS_PORT_ACCESS,MEDIUM,Обнаружен доступ к подозрительному порту 22,"{""src_ip"": ""192.168.1.100"", ""dest_ip"": ""45.155.205.233"", ""port"": 22, ""protocol"": ""TCP""}",Проверить легитимность доступа к порту 22,2026-03-10T10:23:15Z
Network Logs,SUSPICIOUS_PORT_ACCESS,MEDIUM,Обнаружен доступ к подозрительному порту 23,"{""src_ip"": ""192.168.1.100"", ""dest_ip"": ""45.155.205.233"", ""port"": 23, ""protocol"": ""TCP""}",Проверить легитимность доступа к порту 23,2026-03-10T10:24:30Z
Network Logs,SUSPICIOUS_PORT_ACCESS,MEDIUM,Обнаружен доступ к подозрительному порту 445,"{""src_ip"": ""198.51.100.67"", ""dest_ip"": ""unknown"", ""port"": 445, ""protocol"": ""TCP""}",Проверить легитимность доступа к порту 445,2026-03-10T10:35:00Z
Firewall Logs,BLOCKED_THREAT,LOW,Blocked SMB traffic from external IP,"{""src_ip"": ""198.51.100.67"", ""dest_port"": 445, ""protocol"": ""TCP""}",Проанализировать источник для возможного добавления в черный список,2026-03-10T10:35:00Z
IDS Logs,IDS_ALERT,HIGH,ET WEB_SERVER Possible SQL Injection Attempt,"{""src_ip"": ""192.168.1.150"", ""dest_ip"": ""10.0.0.200"", ""category"": ""Web Application Attack""}",Проверить атаку на веб-приложение,2026-03-10T10:40:00Z
